aclu_id,display_name,running_in_2018
aclu/elections-api/congress_legislator:517,Rep. Don Young (R-AK-1),1
aclu/elections-api/congress_legislator:519,Rep. Bradley Byrne (R-AL-1),1
aclu/elections-api/congress_legislator:522,Rep. Martha Roby (R-AL-2),1
aclu/elections-api/congress_legislator:523,Rep. Mike Rogers (R-AL-3),1
aclu/elections-api/congress_legislator:526,"Rep. Robert ""Bob"" Aderholt (R-AL-4)",1
aclu/elections-api/congress_legislator:524,Rep. Mo Brooks (R-AL-5),1
aclu/elections-api/congress_legislator:521,Rep. Gary Palmer (R-AL-6),1
aclu/elections-api/congress_legislator:527,Rep. Terri Sewell (D-AL-7),1
aclu/elections-api/congress_legislator:529,Rep. Rick Crawford (R-AR-1),1
aclu/elections-api/congress_legislator:530,Rep. French Hill (R-AR-2),1
aclu/elections-api/congress_legislator:532,Rep. Steve Womack (R-AR-3),1
aclu/elections-api/congress_legislator:528,Rep. Bruce Westerman (R-AR-4),1
aclu/elections-api/congress_legislator:544,Rep. Tom O'Halleran (D-AZ-1),1
aclu/elections-api/congress_legislator:540,Rep. Martha McSally (R-AZ-2),0
aclu/elections-api/congress_legislator:542,Rep. Raul Grijalva (D-AZ-3),1
aclu/elections-api/congress_legislator:541,Rep. Paul Gosar (R-AZ-4),1
aclu/elections-api/congress_legislator:535,Rep. Andy Biggs (R-AZ-5),1
aclu/elections-api/congress_legislator:536,Rep. David Schweikert (R-AZ-6),1
aclu/elections-api/congress_legislator:543,Rep. Ruben Gallego (D-AZ-7),1
aclu/elections-api/congress_legislator:1043,Rep. Debbie Lesko (R-AZ-8)*,1
aclu/elections-api/congress_legislator:539,Rep. Kyrsten Sinema (D-AZ-9),0
aclu/elections-api/congress_legislator:557,Rep. Doug LaMalfa (R-CA-1),1
aclu/elections-api/congress_legislator:564,Rep. Jared Huffman (D-CA-2),1
aclu/elections-api/congress_legislator:570,Rep. John Garamendi (D-CA-3),1
aclu/elections-api/congress_legislator:597,Rep. Tom McClintock (R-CA-4),1
aclu/elections-api/congress_legislator:583,Rep. Mike Thompson (D-CA-5),1
aclu/elections-api/congress_legislator:556,Rep. Doris Matsui (D-CA-6),1
aclu/elections-api/congress_legislator:547,Rep. Ami Bera (D-CA-7),1
aclu/elections-api/congress_legislator:588,Rep. Paul Cook (R-CA-8),1
aclu/elections-api/congress_legislator:566,Rep. Jerry McNerney (D-CA-9),1
aclu/elections-api/congress_legislator:565,Rep. Jeff Denham (R-CA-10),1
aclu/elections-api/congress_legislator:580,Rep. Mark DeSaulnier (D-CA-11),1
aclu/elections-api/congress_legislator:585,Leader Nancy Pelosi (D-CA-12),1
aclu/elections-api/congress_legislator:549,Rep. Barbara Lee (D-CA-13),1
aclu/elections-api/congress_legislator:563,Rep. Jackie Speier (D-CA-14),1
aclu/elections-api/congress_legislator:560,Rep. Eric Swalwell (D-CA-15),1
aclu/elections-api/congress_legislator:567,Rep. Jim Costa (D-CA-16),1
aclu/elections-api/congress_legislator:591,Rep. Ro Khanna (D-CA-17),1
aclu/elections-api/congress_legislator:548,Rep. Anna Eshoo (D-CA-18),1
aclu/elections-api/congress_legislator:599,Rep. Zoe Lofgren (D-CA-19),1
aclu/elections-api/congress_legislator:569,Rep. Jimmy Panetta (D-CA-20),1
aclu/elections-api/congress_legislator:553,Rep. David Valadao (R-CA-21),1
aclu/elections-api/congress_legislator:554,Rep. Devin Nunes (R-CA-22),1
aclu/elections-api/congress_legislator:577,Leader Kevin McCarthy (R-CA-23),1
aclu/elections-api/congress_legislator:592,Rep. Salud Carbajal (D-CA-24),1
aclu/elections-api/congress_legislator:594,Rep. Steve Knight (R-CA-25),1
aclu/elections-api/congress_legislator:573,Rep. Julia Brownley (D-CA-26),1
aclu/elections-api/congress_legislator:572,Rep. Judy Chu (D-CA-27),1
aclu/elections-api/congress_legislator:545,Rep. Adam Schiff (D-CA-28),1
aclu/elections-api/congress_legislator:598,Rep. Tony Cardenas (D-CA-29),1
aclu/elections-api/congress_legislator:550,Rep. Brad Sherman (D-CA-30),1
aclu/elections-api/congress_legislator:589,"Rep. Peter ""Pete"" Aguilar (D-CA-31)",1
aclu/elections-api/congress_legislator:561,Rep. Grace Napolitano (D-CA-32),1
aclu/elections-api/congress_legislator:596,Rep. Ted Lieu (D-CA-33),1
aclu/elections-api/congress_legislator:568,Rep. Jimmy Gomez (D-CA-34)*,1
aclu/elections-api/congress_legislator:587,Rep. Norma Torres (D-CA-35),1
aclu/elections-api/congress_legislator:590,Rep. Raul Ruiz (D-CA-36),1
aclu/elections-api/congress_legislator:575,Rep. Karen Bass (D-CA-37)!,1
aclu/elections-api/congress_legislator:578,Rep. Linda Sanchez (D-CA-38),1
aclu/elections-api/congress_legislator:559,Rep. Ed Royce (R-CA-39),0
aclu/elections-api/congress_legislator:579,Rep. Lucille Roybal-Allard (D-CA-40),1
aclu/elections-api/congress_legislator:581,Rep. Mark Takano (D-CA-41),1
aclu/elections-api/congress_legislator:576,Rep. Ken Calvert (R-CA-42),1
aclu/elections-api/congress_legislator:582,Rep. Maxine Waters (D-CA-43),1
aclu/elections-api/congress_legislator:586,Rep. Nanette Barragan (D-CA-44),1
aclu/elections-api/congress_legislator:584,Rep. Mimi Walters (R-CA-45),1
aclu/elections-api/congress_legislator:562,Rep. Lou Correa (D-CA-46),1
aclu/elections-api/congress_legislator:546,Rep. Alan Lowenthal (D-CA-47),1
aclu/elections-api/congress_legislator:551,Rep. Dana Rohrabacher (R-CA-48),1
aclu/elections-api/congress_legislator:552,Rep. Darrell Issa (R-CA-49),0
aclu/elections-api/congress_legislator:558,Rep. Duncan Hunter (R-CA-50),1
aclu/elections-api/congress_legislator:571,"Rep. Juan ""Paco"" Vargas (D-CA-51)",1
aclu/elections-api/congress_legislator:593,Rep. Scott Peters (D-CA-52),1
aclu/elections-api/congress_legislator:595,Rep. Susan Davis (D-CA-53),1
aclu/elections-api/congress_legislator:601,Rep. Diana DeGette (D-CO-1),1
aclu/elections-api/congress_legislator:604,Rep. Jared Polis (D-CO-2),0
aclu/elections-api/congress_legislator:608,Rep. Scott Tipton (R-CO-3),1
aclu/elections-api/congress_legislator:605,"Rep. Kenneth ""Ken"" Buck (R-CO-4) ",1
aclu/elections-api/congress_legislator:602,Rep. Doug Lamborn (R-CO-5),1
aclu/elections-api/congress_legislator:607,Rep. Mike Coffman (R-CO-6),1
aclu/elections-api/congress_legislator:603,Rep. Ed Perlmutter (D-CO-7),1
aclu/elections-api/congress_legislator:613,Rep. John Larson (D-CT-1),1
aclu/elections-api/congress_legislator:612,Rep. Joe Courtney (D-CT-2),1
aclu/elections-api/congress_legislator:615,Rep. Rosa DeLauro (D-CT-3),1
aclu/elections-api/congress_legislator:611,Rep. Jim Himes (D-CT-4),1
aclu/elections-api/congress_legislator:610,Rep. Elizabeth Esty (D-CT-5),0
aclu/elections-api/congress_legislator:618,Rep. Lisa Blunt Rochester (D-DE-1),1
aclu/elections-api/congress_legislator:640,Rep. Matt Gaetz (R-FL-1),1
aclu/elections-api/congress_legislator:641,Rep. Neal Dunn (R-FL-2),1
aclu/elections-api/congress_legislator:644,"Rep. Theodore ""Ted"" Yoho (R-FL-3)",1
aclu/elections-api/congress_legislator:635,Rep. John Rutherford (R-FL-4),1
aclu/elections-api/congress_legislator:620,"Rep. Alfred ""Al"" Lawson (D-FL-5)",1
aclu/elections-api/congress_legislator:642,Rep. Ron DeSantis (R-FL-6),0
aclu/elections-api/congress_legislator:643,Rep. Stephanie Murphy (D-FL-7),1
aclu/elections-api/congress_legislator:623,Rep. Bill Posey (R-FL-8),1
aclu/elections-api/congress_legislator:628,Rep. Darren Soto (D-FL-9),1
aclu/elections-api/congress_legislator:647,"Rep. Valdez ""Val"" Demings (D-FL-10)",1
aclu/elections-api/congress_legislator:627,"Rep. Daniel ""Dan"" Webster (R-FL-11)",1
aclu/elections-api/congress_legislator:633,Rep. Gus Bilirakis (R-FL-12),1
aclu/elections-api/congress_legislator:626,"Rep. Charles ""Charlie"" Crist (D-FL-13)",1
aclu/elections-api/congress_legislator:636,Rep. Kathy Castor (D-FL-14),1
aclu/elections-api/congress_legislator:630,Rep. Dennis Ross (R-FL-15),0
aclu/elections-api/congress_legislator:648,Rep. Vern Buchanan (R-FL-16),1
aclu/elections-api/congress_legislator:646,Rep. Tom Rooney (R-FL-17),0
aclu/elections-api/congress_legislator:624,Rep. Brian Mast (R-FL-18),1
aclu/elections-api/congress_legislator:631,Rep. Francis Rooney (R-FL-19),1
aclu/elections-api/congress_legislator:621,Rep. Alcee Hastings (D-FL-20),1
aclu/elections-api/congress_legislator:637,Rep. Lois Frankel (D-FL-21),1
aclu/elections-api/congress_legislator:645,Rep. Ted Deutch (D-FL-22),1
aclu/elections-api/congress_legislator:629,Rep. Debbie Wasserman Schultz (D-FL-23),1
aclu/elections-api/congress_legislator:632,"Rep. Frederica ""Freddi"" Wilson (D-FL-24)",1
aclu/elections-api/congress_legislator:639,Rep. Mario Diaz-Balart (R-FL-25),1
aclu/elections-api/congress_legislator:625,Rep. Carlos Curbelo (R-FL-26),1
