aclu_id,display_name,running_in_2018,running_for_president
517,Rep. Don Young,1,0
519,Rep. Bradley Byrne,1,0
522,Rep. Martha Roby,1,0
523,Rep. Mike Rogers,1,0
526,"Rep. Robert ""Bob"" Aderholt",1,0
524,Rep. Mo Brooks,1,0
521,Rep. Gary Palmer,1,0
527,Rep. Terri Sewell,1,0
529,Rep. Rick Crawford,1,0
530,Rep. French Hill,1,0
532,Rep. Steve Womack,1,0
528,Rep. Bruce Westerman,1,0
544,Rep. Tom O'Halleran,1,0
540,Rep. Martha McSally,0,0
542,Rep. Raul Grijalva,1,0
541,Rep. Paul Gosar,1,0
535,Rep. Andy Biggs,1,0
536,Rep. David Schweikert,1,0
543,Rep. Ruben Gallego,1,0
1043,Rep. Debbie Lesko,1,0
539,Rep. Kyrsten Sinema,0,0
557,Rep. Doug LaMalfa,1,0
564,Rep. Jared Huffman,1,0
570,Rep. John Garamendi,1,0
597,Rep. Tom McClintock,1,0
583,Rep. Mike Thompson,1,0
556,Rep. Doris Matsui,1,0
547,Rep. Ami Bera,1,0
588,Rep. Paul Cook,1,0
566,Rep. Jerry McNerney,1,0
565,Rep. Jeff Denham,1,0
580,Rep. Mark DeSaulnier,1,0
585,Leader Nancy Pelosi,1,0
549,Rep. Barbara Lee,1,0
563,Rep. Jackie Speier,1,0
560,Rep. Eric Swalwell,1,0
567,Rep. Jim Costa,1,0
591,Rep. Ro Khanna,1,0
548,Rep. Anna Eshoo,1,0
599,Rep. Zoe Lofgren,1,0
569,Rep. Jimmy Panetta,1,0
553,Rep. David Valadao,1,0
554,Rep. Devin Nunes,1,0
577,Leader Kevin McCarthy,1,0
592,Rep. Salud Carbajal,1,0
594,Rep. Steve Knight,1,0
573,Rep. Julia Brownley,1,0
572,Rep. Judy Chu,1,0
545,Rep. Adam Schiff,1,0
598,Rep. Tony Cardenas,1,0
550,Rep. Brad Sherman,1,0
589,"Rep. Peter ""Pete"" Aguilar",1,0
561,Rep. Grace Napolitano,1,0
596,Rep. Ted Lieu,1,0
568,Rep. Jimmy Gomez,1,0
587,Rep. Norma Torres,1,0
590,Rep. Raul Ruiz,1,0
575,Rep. Karen Bass,1,0
578,Rep. Linda Sanchez,1,0
559,Rep. Ed Royce,0,0
579,Rep. Lucille Roybal-Allard,1,0
581,Rep. Mark Takano,1,0
576,Rep. Ken Calvert,1,0
582,Rep. Maxine Waters,1,0
586,Rep. Nanette Barragan,1,0
584,Rep. Mimi Walters,1,0
562,Rep. Lou Correa,1,0
546,Rep. Alan Lowenthal,1,0
551,Rep. Dana Rohrabacher,1,0
552,Rep. Darrell Issa,0,0
558,Rep. Duncan Hunter,1,0
571,"Rep. Juan ""Paco"" Vargas",1,0
593,Rep. Scott Peters,1,0
595,Rep. Susan Davis,1,0
601,Rep. Diana DeGette,1,0
604,Rep. Jared Polis,0,0
608,Rep. Scott Tipton,1,0
605,"Rep. Kenneth ""Ken"" Buck",1,0
602,Rep. Doug Lamborn,1,0
607,Rep. Mike Coffman,1,0
603,Rep. Ed Perlmutter,1,0
613,Rep. John Larson,1,0
612,Rep. Joe Courtney,1,0
615,Rep. Rosa DeLauro,1,0
611,Rep. Jim Himes,1,0
610,Rep. Elizabeth Esty,0,0
618,Rep. Lisa Blunt Rochester,1,0
640,Rep. Matt Gaetz,1,0
641,Rep. Neal Dunn,1,0
644,"Rep. Theodore ""Ted"" Yoho",1,0
635,Rep. John Rutherford,1,0
620,"Rep. Alfred ""Al"" Lawson",1,0
642,Rep. Ron DeSantis,0,0
643,Rep. Stephanie Murphy,1,0
623,Rep. Bill Posey,1,0
628,Rep. Darren Soto,1,0
647,"Rep. Valdez ""Val"" Demings",1,0
627,"Rep. Daniel ""Dan"" Webster",1,0
633,Rep. Gus Bilirakis,1,0
626,"Rep. Charles ""Charlie"" Crist",1,0
636,Rep. Kathy Castor,1,0
630,Rep. Dennis Ross,0,0
648,Rep. Vern Buchanan,1,0
646,Rep. Tom Rooney,0,0
624,Rep. Brian Mast,1,0
631,Rep. Francis Rooney,1,0
621,Rep. Alcee Hastings,1,0
637,Rep. Lois Frankel,1,0
645,Rep. Ted Deutch,1,0
629,Rep. Debbie Wasserman Schultz,1,0
632,"Rep. Frederica ""Freddi"" Wilson",1,0
639,Rep. Mario Diaz-Balart,1,0
625,Rep. Carlos Curbelo,1,0
634,Rep. Ileana Ros-Lehtinen,0,0
652,Rep. Buddy Carter,1,0
662,Rep. Sanford Bishop,1,0
649,Rep. Drew Ferguson,1,0
656,Rep. Hank Johnson,1,0
659,Rep. John Lewis,1,0
1044,Rep. Karen Handel,1,0
661,Rep. Rob Woodall,1,0
650,Rep. Austin Scott,1,0
655,Rep. Doug Collins,1,0
657,Rep. Jody Hice,1,0
651,Rep. Barry Loudermilk,1,0
660,Rep. Rick Allen,1,0
654,Rep. David Scott,1,0
