aclu_id,display_name,running_for_president,running_for_next_term,seat_up
517,Rep. Don Young,0,1,1
519,Rep. Bradley Byrne,0,0,1
521,Rep. Gary Palmer,0,1,1
522,Rep. Martha Roby,0,0,1
523,Rep. Mike Rogers,0,1,1
524,Rep. Mo Brooks,0,1,1
526,Rep. Robert Aderholt,0,1,1
527,Rep. Terri Sewell,0,1,1
528,Rep. Bruce Westerman,0,1,1
529,Rep. Rick Crawford,0,1,1
530,Rep. French Hill,0,1,1
532,Rep. Steve Womack,0,1,1
535,Rep. Andy Biggs,0,1,1
536,Rep. David Schweikert,0,1,1
541,Rep. Paul Gosar,0,1,1
542,Rep. Raul Grijalva,0,1,1
543,Rep. Ruben Gallego,0,1,1
544,Rep. Tom O'Halleran,0,1,1
545,Rep. Adam Schiff,0,1,1
546,Rep. Alan Lowenthal,0,1,1
547,Rep. Ami Bera,0,1,1
548,Rep. Anna Eshoo,0,1,1
549,Rep. Barbara Lee,0,1,1
550,Rep. Brad Sherman,0,1,1
554,Rep. Devin Nunes,0,1,1
556,Rep. Doris Matsui,0,1,1
557,Rep. Doug LaMalfa,0,1,1
558,Rep. Duncan Hunter,0,0,1
560,Rep. Eric Swalwell,0,1,1
561,Rep. Grace Napolitano,0,1,1
562,Rep. Lou Correa,0,1,1
563,Rep. Jackie Speier,0,1,1
564,Rep. Jared Huffman,0,1,1
566,Rep. Jerry McNerney,0,1,1
567,Rep. James Costa,0,1,1
568,Rep. Jimmy Gomez,0,1,1
569,Rep. Jimmy Panetta,0,1,1
570,Rep. John Garamendi,0,1,1
571,Rep. Juan Vargas,0,1,1
572,Rep. Judy Chu,0,1,1
573,Rep. Julia Brownley,0,1,1
575,Rep. Karen Bass,0,1,1
576,Rep. Ken Calvert,0,1,1
577,Rep. Kevin McCarthy,0,1,1
578,Rep. Linda Sanchez,0,1,1
579,Rep. Lucille Roybal-Allard,0,1,1
580,Rep. Mark DeSaulnier,0,1,1
581,Rep. Mark Takano,0,1,1
582,Rep. Maxine Waters,0,1,1
583,Rep. Mike Thompson,0,1,1
585,Speaker Nancy Pelosi,0,1,1
586,Rep. Nanette Barragan,0,1,1
587,Rep. Norma Torres,0,1,1
588,Rep. Paul Cook,0,0,1
589,Rep. Pete Aguilar,0,1,1
590,Rep. Raul Ruiz,0,1,1
591,Rep. Ro Khanna,0,1,1
592,Rep. Salud Carbajal,0,1,1
593,Rep. Scott Peters,0,1,1
595,Rep. Susan Davis,0,0,1
596,Rep. Ted Lieu,0,1,1
597,Rep. Tom McClintock,0,1,1
598,Rep. Tony Cardenas,0,1,1
599,Rep. Zoe Lofgren,0,1,1
601,Rep. Diana Degette,0,1,1
602,Rep. Doug Lamborn,0,1,1
603,Rep. Ed Perlmutter,0,1,1
605,Rep. Ken Buck,0,1,1
608,Rep. Scott Tipton,0,0,1
611,Rep. Jim Himes,0,1,1
612,Rep. Joe Courtney,0,1,1
613,Rep. John Larson,0,1,1
615,Rep. Rosa DeLauro,0,1,1
618,Rep. Lisa Blunt Rochester,0,1,1
620,Rep. Al Lawson,0,1,1
621,Rep. Alcee Hastings,0,1,1
623,Rep. Bill Posey,0,1,1
624,Rep. Brian Mast,0,1,1
626,Rep. Charlie Crist,0,1,1
627,Rep. Daniel Webster,0,1,1
628,Rep. Darren Soto,0,1,1
629,Rep. Debbie Wasserman Schultz,0,1,1
631,Rep. Francis Rooney,0,0,1
632,Rep. Frederica Wilson,0,1,1
633,Rep. Gus Bilirakis,0,1,1
635,Rep. John Rutherford,0,1,1
636,Rep. Kathy Castor,0,1,1
637,Rep. Lois Frankel,0,1,1
639,Rep. Mario Diaz-Balart,0,1,1
640,Rep. Matt Gaetz,0,1,1
641,Rep. Neal Dunn,0,1,1
643,Rep. Stephanie Murphy,0,1,1
644,Rep. Ted Yoho,0,0,1
645,Rep. Ted Deutch,0,1,1
647,Rep. Val Demings,0,1,1
648,Rep. Vern Buchanan,0,1,1
649,Rep. Drew Ferguson,0,1,1
650,Rep. Austin Scott,0,1,1
651,Rep. Barry Loudermilk,0,1,1
652,Rep. Buddy Carter,0,1,1
654,Rep. David Scott,0,1,1
655,Rep. Doug Collins,0,0,1
656,Rep. Hank Johnson,0,1,1
657,Rep. Jody Hice,0,1,1
659,Rep. John Lewis,0,0,1
660,Rep. Richard Allen,0,1,1
661,Rep. Rob Woodall,0,0,1
662,Rep. Sanford Bishop,0,1,1
663,Rep. Tom Graves,0,0,1
668,Rep. Tulsi Gabbard,1,0,1
670,Rep. Dave Loebsack,0,0,1
674,Rep. Steve King,0,0,1
677,Rep. Mike Simpson,0,1,1
679,Rep. Adam Kinzinger,0,1,1
680,Rep. Bill Foster,0,1,1
681,Rep. Bobby Rush,0,1,1
682,Rep. Brad Schneider,0,1,1
683,Rep. Cheri Bustos,0,1,1
684,Rep. Dan Lipinski,0,0,1
685,Rep. Danny Davis,0,1,1
686,Rep. Darin LaHood,0,1,1
687,Rep. Jan Schakowsky,0,1,1
688,Rep. John Shimkus,0,0,1
690,Rep. Mike Bost,0,1,1
691,Rep. Mike Quigley,0,1,1
693,Rep. Raja Krishnamoorthi,0,1,1
696,Rep. Robin Kelly,0,1,1
697,Rep. Rodney Davis,0,1,1
699,Rep. Andre Carson,0,1,1
700,Rep. Jackie Walorski,0,1,1
701,Rep. Jim Banks,0,1,1
703,Rep. Larry Bucshon,0,1,1
705,Rep. Pete Visclosky,0,0,1
706,Rep. Susan Brooks,0,0,1
709,Rep. Trey Hollingsworth,0,1,1
714,Rep. Roger Marshall,0,0,1
715,Rep. Ron Estes,0,1,1
716,Rep. Brett Guthrie,0,1,1
717,Rep. Andy Barr,0,1,1
718,Rep. Hal Rogers,0,1,1
719,Rep. James Comer,0,1,1
720,Rep. John Yarmuth,0,1,1
723,Rep. Thomas Massie,0,1,1
725,Rep. Cedric Richmond,0,1,1
726,Rep. Clay Higgins,0,1,1
727,Rep. Garret Graves,0,1,1
729,Rep. Mike Johnson,0,1,1
730,Rep. Ralph Abraham,0,0,1
731,Rep. Steve Scalise,0,1,1
734,Rep. Jim McGovern,0,1,1
735,Rep. Joe Kennedy,0,0,1
736,Rep. Katherine Clark,0,1,1
739,Rep. Richard Neal,0,1,1
740,Rep. Seth Moulton,0,1,1
741,Rep. Stephen Lynch,0,1,1
742,Rep. Bill Keating,0,1,1
743,Rep. Andy Harris,0,1,1
744,Rep. Anthony Brown,0,1,1
746,Rep. Dutch Ruppersberger,0,1,1
748,Rep. Elijah Cummings,0,0,1
749,Rep. Jamie Raskin,0,1,1
751,Rep. John Sarbanes,0,1,1
752,Rep. Steny Hoyer,0,1,1
755,Rep. Chellie Pingree,0,1,1
757,Rep. Bill Huizenga,0,1,1
