#,Roll Call #,Date,Type,Bill,Amendment,Outcome,Title,Description,Bill summary (plain-language),Committee,Link
,FLOOR VOTES,,,,,,,,,,
1,65,1/24/2017,On Passage,H.R. 7,,"Passed, 238-183",No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"This legislation would make harmful, discriminatory abortion coverage restrictions permanent and interfere with private health insurance coverage for abortion. (ACLU Position: Opposed)",Restricting Abortion Coverage,,http://clerk.house.gov/evs/2017/roll065.xml
2,76,2/2/2017,On Passage,H.J. Res 37,,"Passed, 236-187","A joint resolution disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.","This legislation would overturn the regulations implementing the 2014 Fair Pay and Safe Workplaces executive order, which require federal agencies to contract only with companies that comply with workplace safety laws, sexual harassment laws, anti-discrimination laws, and minimum wage and overtime laws. (ACLU Position: Opposed)",Overturning Fair Pay and Safe Workplaces,,http://clerk.house.gov/evs/2017/roll076.xml
3,77,2/2/2017,On Passage,H.J. Res 40,,"Passed, 235-180",A joint resolution disapproving the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.,"This legislation would overturn a federal rule to add the names of Social Security disability benefit recipients to the national background check system used during gun purchases. In contrast to well-crafted measures that respect civil liberties while reducing gun violence, the rule in question raises due process concerns and reinforces the harmful and unsupported stereotype that people with mental disabilities, a vast and diverse group of citizens, are violent. (ACLU Position: Supported)",Overturning Rule that Requires Disclosure of Disabilities During Gun Purchases,,http://clerk.house.gov/evs/2017/roll077.xml
4,84,2/7/2017,On Passage,H.J. Res 57,,"Passed, 234-190",A joint resolution disapproving the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965,"This legislation would, in effect, overturn critical protections for historically marginalized students, including students of color, students with disabilities, and students who are English learners, immigrants, girls, Native American, LGBTQ, or low-income students. (ACLU Position: Opposed)",Overturning Protection for Historically Marginalized Students,,http://clerk.house.gov/evs/2017/roll084.xml
5,99,2/16/2017,On Passage,H.J. Res 43,,"Passed, 230-188",A joint resolution disapproving the rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.,This legislation would overturn a federal rule that reinforces protections against ideologically driven attempts to exclude qualified reproductive health care providers from participating in the Title X family planning program. (ACLU Position: Opposed),Overturn the Protection Against Ideologically Driven Attempts to Exclude Health Care providers from Title X Family Planning,,http://clerk.house.gov/evs/2017/roll099.xml
6,202,3/28/2017,On Passage,S.J. Res 34,,"Passed, 215-205","A joint resolution disapproving the rule submitted by the Federal Communications Commission relating to ""Protecting the Privacy of Customers of Broadband and Other Telecommunications Services.""",This legislation would overturn federal privacy protection rules that require broadband internet service providers to get customers’ consent before sharing their sensitive data with third parties. (ACLU Position: Opposed),Overturn Privacy Protection Rules in Internet Service Providers,,http://clerk.house.gov/evs/2017/roll202.xml
7,244,5/2/2017,On Passage,H.R. 1180,,"Passed, 229-197",Working Families Flexibility Act of 2017,"This legislation claims to help employees balance work and family obligations, but instead it risks undermining meaningful access to paid leave and forces people to choose between compensation for the extra time they worked and scheduling flexibility to meet their families’ needs. (ACLU Position: Opposed)",Forces People to Choose Between Work and Family,,http://clerk.house.gov/evs/2017/roll244.xml
8,256,5/4/2017,On Passage,H.R. 1628,,"Passed, 217-213",American Health Care Act of 2017,"This legislation would repeal key provisions of the Affordable Care Act (ACA), block patients from accessing care at Planned Parenthood, place new restrictions on abortion coverage, and radically alter Medicaid’s funding and structure in such a way as to cause great harm to people with disabilities. (ACLU Position: Opposed)",Repeals Key Provisions of the Affordable Care Act,,http://clerk.house.gov/evs/2017/roll256.xml
9,265,5/18/2017,On Passage,H.R. 115,,"Passed, 271-143","Thin Blue Line Act
","This legislation would subject a person to the death penalty for killing or targeting law enforcement. It is unnecessary and duplicative of existing law, counterproductive to improving law enforcement and community relations, and unlikely to prevent future violence against police. (ACLU Position: Opposed)","Expands the Death Penalty

",,http://clerk.house.gov/evs/2017/roll265.xml
10,268,5/19/2017,On Passage,H.R. 1039,,"Passed, 229-177","Probation Officer Protection Act of 2017
","This legislation would give federal probation officers the authority to arrest people who are not on probation without a warrant, despite the lack of evidence that current arrest authority is insufficient. H.R. 1039 would also create safety concerns for both probation officers and the community and risks violating people's Fourth Amendment rights. (ACLU Position: Opposed)","Expands Federal Probation Officers’ Authority to Arrest without a Warrant

",,http://clerk.house.gov/evs/2017/roll268.xml
11,342,6/29/2017,On Passage,H.R. 3003,,"Passed, 228-195",No Sanctuary for Criminals Act,This legislation would force state and local law enforcement agencies to violate the Fourth Amendment by requiring them to imprison people without due process or probable cause at the request of federal immigration agents. (ACLU Position: Opposed),Force Law Enforcement Agencies to Violate the Fourth Amendment,,http://clerk.house.gov/evs/2017/roll342.xml
12,344,6/29/2017,On Passage,H.R. 3004,,"Passed, 257-167",Kate's Law,"This legislation would increase already strict penalties for undocumented immigrants who reenter the United States, while ignoring any humanitarian considerations. The bill also limits immigrants’ ability to challenge prior removal orders in court regardless of whether they were lawfully obtained, in violation of due process. (ACLU Position: Opposed)","Impose Draconian Penalties on Undocumented Immigrants and Remove Certain Due Process Protections in Immigration Court

",,http://clerk.house.gov/evs/2017/roll344.xml
13,369,7/13/2017,On Agreeing to the Amendment,H.R. 2810,Hartzler of Missouri Amendment No. 10,"Failed, 209-214",National Defense Authorization Act for Fiscal Year 2018 - Rep. Hartzler Amendment #315,"In a discriminatory, unconstitutional attack on transgender service members and their families, this amendmentwould bar transgender members of the Armed Forces and military dependents from receiving appropriate and medically necessary health care. (ACLU Position: Opposed)",Bars Transgender Service Members and Military Dependents From Receiving Medically Necessary Care,,http://clerk.house.gov/evs/2017/roll369.xml
14,372,7/14/2017,On Agreeing to the Amendment,H.R. 2810,Franks of Arizona Amendment No. 13,"Failed, 208-217",National Defense Authorization Act for Fiscal Year 2018 - Rep. Franks' Amendment #68,"This legislation would violate the Constitution by requiringthe federal government, in violation of the Constitution, to single out Muslims and Islam under the cover of conducting “strategic assessments” of religious doctrine, singling out Muslims and Islam and casting suspicion on an entire religion, chilling freedoms of speech, association, and religion. (ACLU Position: Opposed)",Requires the Federal Government to Single out Muslims and Islam for “Strategic Assessments”,,http://clerk.house.gov/evs/2017/roll372.xml
15,442,9/6/2017,On Ordering the Previous Question,H. Res 500,,"Passed, 233-187","Providing for consideration of the bill (H.R. 3354) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2018, and for other purposes; providing for consideration of motions to suspend the rules; and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.
","The House voted on whether to allow a vote on the Dream Act in a procedural move, where a vote 'yes' meant voting to reject the Dream Act, and a vote 'no' meant voting to support the Dream Act. The Dream Act would grant undocumented immigrant youth who came to the U.S. as children access to work permits, protect them from deportation, and provide them with a pathway to citizenship. (ACLU Position: Opposed)",Rejecting the Dream Act,,http://clerk.house.gov/evs/2017/roll442.xml
