Representative,State + District,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
,,,,H65: On H.R. 7: No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"H76: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","H77: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","H99: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...","H202: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",H244: On H.R. 1180: Working Families Flexibility Act of 2017,H256: On H.R. 1628: American Health Care Act of 2017,H265: On H.R. 115: Thin Blue Line Act,H268: On H.R. 1039: Probation Officer Protection Act of 2017,H342: On H.R. 3003: No Sanctuary for Criminals Act,H344: On H.R. 3004: Kate's Law,H369: On H.Amdt. 183 (Hartzler) to H.R. 2810 (115th): To prohibit funds for medical treatment (other than mental health treatment) related to ...,H372: On H.Amdt. 185 (Franks) to H.R. 2810 (115th): To require the Secretary of Defense to conduct strategic assessments of the use ...,H442: On Ordering the Previous Question: H RES 500 Providing for consideration of the bill (H.R. 3354) making appropriations for the Dept. of the Interior; providing for consideration of motions to s,H495: On H.Amdt. 383 (Scott) to H.R. 3354 (115th): To strike section prohibiting the EEOC from using funds to implement pay data ...,"H514: On H.Amdt. 427 (Ellison) to H.R. 3354 (115th): At the end of division F (before the short title), insert the following: ...",H517: On H.R. 3697: Criminal Alien Gang Member Removal Act,H518: On H.Amdt. 432 (Palmer) to H.R. 3354 (115th): To prohibit funds from being used to implement the District of Columbia's Reproductive ...,H549: On H.R. 36: Pain-Capable Unborn Child Protection Act,H14: On H.Amdt. 510 (Amash) to S. 139 (115th): To replace the text of S. 139 with the text of the USA ...,H16: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,H36: On H.R. 4712: Born-Alive Abortion Survivors Protection Act,H80: On H.R. 620: ADA Education and Reform Act of 2017,H91: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"H127: On H.R. 1625: Consolidated Appropriations Act, 2018",H175: On H.R. 2152: Citizens' Right to Know Act of 2018,H188: On H.R. 5698: Protect and Serve Act of 2018,"Judiciary committee vote (H13): Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act",Judiciary committee vote (H14): USCIS Reauthorization Act,Judiciary committee vote (H18): ICE Authorization Act,Judiciary committee vote (H17): Legal Workforce Act,Judiciary committee vote (H1): Poe Amendment #3 to H.R. 3989 (the USA Liberty Act),Intel committee vote on H.R. 4478 (FISA Amendments Reauthorization Act),Judiciary committee vote (H2): Citizens' Right to Know Act of 2017,Judiciary committee vote (H2): FIRST STEP Act
,,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed
Rep. Don Young (R-AK-1),AK-01,R,15%,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Missed,0,0,0,0,1,0,0,1,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Bradley Byrne (R-AL-1),AL-01,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Martha Roby (R-AL-2),AL-02,R,3%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Missed,Missed
Rep. Mike Rogers (R-AL-3),AL-03,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
"Rep. Robert ""Bob"" Aderholt (R-AL-4)",AL-04,R,4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Mo Brooks (R-AL-5),AL-05,R,11%,0,0,Missed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Gary Palmer (R-AL-6),AL-06,R,7%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee
Rep. Terri Sewell (D-AL-7),AL-07,D,79%,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,1,Not on committee,Not on committee
