Rep. Don Young,517,AK-01
Rep. Bradley Byrne,519,AL-01
Rep. Martha Roby,522,AL-02
Rep. Mike Rogers,523,AL-03
Rep. Robert Aderholt,526,AL-04
Rep. Mo Brooks,524,AL-05
Rep. Gary Palmer,521,AL-06
Rep. Terri Sewell,527,AL-07
Rep. Rick Crawford,529,AR-01
Rep. French Hill,530,AR-02
Rep. Steve Womack,532,AR-03
Rep. Bruce Westerman,528,AR-04
Rep. Tom O'Halleran,544,AZ-01
Rep. Ann Kirkpatrick,11515,AZ-02
Rep. Raul Grijalva,542,AZ-03
Rep. Paul Gosar,541,AZ-04
Rep. Andy Biggs,535,AZ-05
Rep. David Schweikert,536,AZ-06
Rep. Ruben Gallego,543,AZ-07
Rep. Debbie Lesko,1043,AZ-08
Rep. Greg Stanton,11516,AZ-09
Rep. Doug LaMalfa,557,CA-01
Rep. Jared Huffman,564,CA-02
Rep. John Garamendi,570,CA-03
Rep. Tom McClintock,597,CA-04
Rep. Mike Thompson,583,CA-05
Rep. Doris Matsui,556,CA-06
Rep. Ami Bera,547,CA-07
Rep. Paul Cook,588,CA-08
Rep. Jerry McNerney,566,CA-09
Rep. Josh Harder,11519,CA-10
Rep. Mark DeSaulnier,580,CA-11
Speaker Nancy Pelosi,585,CA-12
Rep. Barbara Lee,549,CA-13
Rep. Jackie Speier,563,CA-14
Rep. Eric Swalwell,560,CA-15
Rep. James Costa,567,CA-16
Rep. Ro Khanna,591,CA-17
Rep. Anna Eshoo,548,CA-18
Rep. Zoe Lofgren,599,CA-19
Rep. Jimmy Panetta,569,CA-20
Rep. TJ Cox,11523,CA-21
Rep. Devin Nunes,554,CA-22
Rep. Kevin McCarthy,577,CA-23
Rep. Salud Carbajal,592,CA-24
Rep. Katie Hill,11520,CA-25
Rep. Julia Brownley,573,CA-26
Rep. Judy Chu,572,CA-27
Rep. Adam Schiff,545,CA-28
Rep. Tony Cardenas,598,CA-29
Rep. Brad Sherman,550,CA-30
Rep. Pete Aguilar,589,CA-31
