aclu_id,display_name,running_for_president,running_for_next_term,special_election,seat_up
516,Sen. Dan Sullivan,0,1,0,1
518,Sen. Lisa Murkowski,0,0,0,0
520,Sen. Doug Jones,0,1,0,1
525,Sen. Richard Shelby,0,0,0,0
531,Sen. John Boozman,0,0,0,0
533,Sen. Tom Cotton,0,1,0,1
539,Sen. Kyrsten Sinema,0,0,0,0
540,Sen. Martha McSally,0,1,1,1
555,Sen. Dianne Feinstein,0,0,0,0
574,Sen. Kamala Harris,1,0,0,0
600,Sen. Cory Gardner,0,1,0,1
606,Sen. Michael Bennet,1,0,0,0
609,Sen. Chris Murphy,0,0,0,0
614,Sen. Richard Blumenthal,0,0,0,0
617,Sen. Chris Coons,0,1,0,1
619,Sen. Tom Carper,0,0,0,0
638,Sen. Marco Rubio,0,0,0,0
653,Sen. David Perdue,0,1,0,1
658,Sen. Johnny Isakson,0,0,0,0
665,Sen. Brian Schatz,0,0,0,0
667,Sen. Mazie Hirono,0,0,0,0
669,Sen. Chuck Grassley,0,0,0,0
672,Sen. Joni Ernst,0,1,0,1
675,Sen. Jim Risch,0,1,0,1
676,Sen. Mike Crapo,0,0,0,0
695,Sen. Dick Durbin,0,1,0,1
698,Sen. Tammy Duckworth,0,0,0,0
708,Sen. Todd Young,0,0,0,0
710,Sen. Jerry Moran,0,0,0,0
713,Sen. Pat Roberts,0,0,0,1
721,Sen. Mitch McConnell,0,1,0,1
722,Sen. Rand Paul,0,0,0,0
724,Sen. Bill Cassidy,0,1,0,1
728,Sen. John Kennedy,0,0,0,0
732,Sen. Ed Markey,0,1,0,1
733,Sen. Elizabeth Warren,1,0,0,0
745,Sen. Ben Cardin,0,0,0,0
747,Sen. Chris Van Hollen,0,0,0,0
753,Sen. Angus King,0,0,0,0
756,Sen. Susan Collins,0,1,0,1
762,Sen. Debbie Stabenow,0,0,0,0
764,Sen. Gary Peters,0,1,0,1
772,Sen. Amy Klobuchar,1,0,0,0
779,Sen. Tina Smith,0,1,0,1
787,Sen. Roy Blunt,0,0,0,0
794,Sen. Roger Wicker,0,0,0,0
797,Sen. Jon Tester,0,0,0,0
798,Sen. Steve Daines,0,1,0,1
807,Sen. Richard Burr,0,0,0,0
811,Sen. Thom Tillis,0,1,0,1
815,Sen. John Hoeven,0,0,0,0
816,Sen. Kevin Cramer,0,0,0,0
818,Sen. Ben Sasse,0,1,0,1
819,Sen. Deb Fischer,0,0,0,0
824,Sen. Jeanne Shaheen,0,1,0,1
825,Sen. Maggie Hassan,0,0,0,0
830,Sen. Cory Booker,1,1,0,1
837,Sen. Bob Menendez,0,0,0,0
841,Sen. Martin Heinrich,0,0,0,0
844,Sen. Tom Udall,0,0,0,1
845,Sen. Catherine Cortez Masto,0,0,0,0
848,Sen. Jacky Rosen,0,0,0,0
854,Sen. Chuck Schumer,0,0,0,0
869,Sen. Kirsten Gillibrand,0,0,0,0
890,Sen. Rob Portman,0,0,0,0
891,Sen. Sherrod Brown,0,0,0,0
897,Sen. Jim Inhofe,0,1,0,1
898,Sen. James Lankford,0,0,0,0
904,Sen. Jeff Merkley,0,1,0,1
907,Sen. Ron Wyden,0,0,0,0
920,Sen. Pat Toomey,0,0,0,0
922,Sen. Bob Casey,0,0,0,0
929,Sen. Jack Reed,0,1,0,1
930,Sen. Sheldon Whitehouse,0,0,0,0
934,Sen. Lindsey Graham,0,1,0,1
937,Sen. Tim Scott,0,0,0,0
940,Sen. John Thune,0,0,0,0
942,Sen. Mike Rounds,0,1,0,1
950,Sen. Lamar Alexander,0,0,0,1
951,Sen. Marsha Blackburn,0,0,0,0
967,Sen. John Cornyn,0,1,0,1
987,Sen. Ted Cruz,0,0,0,0
993,Sen. Mike Lee,0,0,0,0
1003,Sen. Mark Warner,0,1,0,1
1008,Sen. Tim Kaine,0,0,0,0
1010,Sen. Bernie Sanders,1,0,0,0
1011,Sen. Pat Leahy,0,0,0,0
1020,Sen. Maria Cantwell,0,0,0,0
1021,Sen. Patty Murray,0,0,0,0
1031,Sen. Ron Johnson,0,0,0,0
1034,Sen. Tammy Baldwin,0,0,0,0
1038,Sen. Joe Manchin,0,0,0,0
1039,Sen. Shelley Moore Capito,0,1,0,1
1040,Sen. John Barrasso,0,0,0,0
1042,Sen. Mike Enzi,0,0,0,1
1046,Sen. Cindy Hyde-Smith,0,1,0,1
11544,Sen. Mike Braun,0,0,0,0
11560,Sen. Josh Hawley,0,0,0,0
11603,Sen. Mitt Romney,0,0,0,0
11616,Sen. Kelly Loeffler,0,1,1,1
11530,Sen. Rick Scott,0,0,0,0
