Senator,State,Party,Total percentage score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24
,,,,"S66: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...",S80: On the Motion to Proceed H.J.Res. 37,"S81: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","S84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","S94: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",S100: On the Motion to Proceed H.J.Res. 43,"S101: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...",S167: On the Motion to Proceed H.R. 1628,S179: On S.Amdt. 667 (McConnell) to H.R. 1628 (115th) and to S.Amdt. 267: Of a perfecting nature.,S10: On the Motion to Proceed S. 139,S11: On Motion to Invoke Cloture: Motion to Concur in the House Amdt. to S. 139,S12: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,S25: On Motion to Invoke Cloture on the Motion to Proceed to the Consideration of S. 2311,S34: On Motion to Invoke Cloture on Amdt. No. 1948,S36: On Motion to Invoke Cloture on Amdt. No. 1959,S57: On Motion to Invoke Cloture on the Motion to Proceed to H.R. 1865,S60: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,S62: On Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 1625,"S63: On H.R. 1625: Consolidated Appropriations Act, 2018","S96: On the Motion to Proceed: Motion to Proceed to S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".","S97: On the Joint Resolution: S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",S222: On the Cloture Motion (Motion to Invoke Cloture Re: Brett M. Kavanaugh to be an Associate Justice of the Supreme Court of the United States),Judiciary committee vote - S. 1917: Sentencing Reform and Corrections Act of 2017
,,,,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,ACLU Supported
Sen. Dan Sullivan (R-AK),AK,R,20%,1,0,Missed,0,0,0,0,0,0,0,Missed,1,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Lisa Murkowski (R-AK),AK,R,55%,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,Not on committee
Sen. Richard Shelby (R-AL),AL,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Doug Jones (D-AL)*,AL,D,46%,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,Not yet in office,0,0,0,1,1,1,0,0,0,0,1,1,1,Not on committee
Sen. John Boozman (R-AR),AR,R,5%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not on committee
Sen. Tom Cotton (R-AR),AR,R,14%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Not on committee
Sen. Jeff Flake (R-AZ) ,AZ,R,23%,1,0,Missed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
