#,Roll Call #,Date,Type,Bill,Amendment,Title,Description,Committee,Link
,FLOOR VOTES,,,,,,,,
1,65,1/24/2017,On Passage,H.R. 7,,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"This legislation would make harmful, discriminatory abortion coverage restrictions permanent and interfere with private health insurance coverage for abortion. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll065.xml
2,76,2/2/2017,On Passage,H.J. Res 37,,"A joint resolution disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.","This legislation would overturn the regulations implementing the 2014 Fair Pay and Safe Workplaces executive order, which require federal agencies to contract only with companies that comply with workplace safety laws, sexual harassment laws, anti-discrimination laws, and minimum wage and overtime laws. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll076.xml
3,77,2/2/2017,On Passage,H.J. Res 40,,A joint resolution disapproving the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.,"This legislation would overturn a federal rule to add the names of Social Security disability benefit recipients to the national background check system used during gun purchases. In contrast to well-crafted measures that respect civil liberties while reducing gun violence, the rule in question raises due process concerns and reinforces the harmful and unsupported stereotype that people with mental disabilities, a vast and diverse group of citizens, are violent. (ACLU Position: Supported)",,http://clerk.house.gov/evs/2017/roll077.xml
4,84,2/7/2017,On Passage,H.J. Res 57,,A joint resolution disapproving the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965,"This legislation would, in effect, overturn critical protections for historically marginalized students, including students of color, students with disabilities, and students who are English learners, immigrants, girls, Native American, LGBTQ, or low-income students. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll084.xml
5,99,2/16/2017,On Passage,H.J. Res 43,,A joint resolution disapproving the rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.,This legislation would overturn a federal rule that reinforces protections against ideologically driven attempts to exclude qualified reproductive health care providers from participating in the Title X family planning program. (ACLU Position: Opposed),,http://clerk.house.gov/evs/2017/roll099.xml
6,202,3/28/2017,On Passage,S.J. Res 34,,"A joint resolution disapproving the rule submitted by the Federal Communications Commission relating to ""Protecting the Privacy of Customers of Broadband and Other Telecommunications Services.""",This legislation would overturn federal privacy protection rules that require broadband internet service providers to get customers’ consent before sharing their sensitive data with third parties. (ACLU Position: Opposed),,http://clerk.house.gov/evs/2017/roll202.xml
7,244,5/2/2017,On Passage,H.R. 1180,,Working Families Flexibility Act of 2017,"This legislation claims to help employees balance work and family obligations, but instead it risks undermining meaningful access to paid leave and forces people to choose between compensation for the extra time they worked and scheduling flexibility to meet their families’ needs. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll244.xml
8,256,5/4/2017,On Passage,H.R. 1628,,American Health Care Act of 2017,"This legislation would repeal key provisions of the Affordable Care Act (ACA), block patients from accessing care at Planned Parenthood, place new restrictions on abortion coverage, and radically alter Medicaid’s funding and structure in such a way as to cause great harm to people with disabilities. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll256.xml
9,265,5/18/2017,On Passage,H.R. 115,,"Thin Blue Line Act
","This legislation would expand the number of aggravating factors that would subject a person to the death penalty. The ACLU opposes H.R. 115 because it is unnecessary and duplicative, counterproductive to improving law enforcement and community relations, and unlikely to prevent future violence against police. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll265.xml
