Representative,State + District,Party,H517: On H.R. 3697: Criminal Alien Gang Member Removal Act,H268: On H.R. 1039: Probation Officer Protection Act of 2017,H265: On H.R. 115: Thin Blue Line Act,H188: On H.R. 5698: Protect and Serve Act of 2018,H175: On H.R. 2152: Citizens' Right to Know Act of 2018,H442: On Ordering the Previous Question: H RES 500 Providing for consideration of the bill (H.R. 3354) making appropriations for the Dept. of the Interior; providing for consideration of motions to s,H344: On H.R. 3004: Kate's Law,H342: On H.R. 3003: No Sanctuary for Criminals Act,Judiciary committee vote (H18): ICE Authorization Act,"Judiciary committee vote (H13): Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act",Judiciary committee vote (H14): USCIS Reauthorization Act,Judiciary committee vote (H2): Citizens' Right to Know Act of 2017,Judiciary committee vote (H2): FIRST STEP Act,H80: On H.R. 620: ADA Education and Reform Act of 2017,H495: On H.Amdt. 383 (Scott) to H.R. 3354 (115th): To strike section prohibiting the EEOC from using funds to implement pay data ...,"H76: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...","H99: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...","H84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...",H65: On H.R. 7: No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,"H514: On H.Amdt. 427 (Ellison) to H.R. 3354 (115th): At the end of division F (before the short title), insert the following: ...",H369: On H.Amdt. 183 (Hartzler) to H.R. 2810 (115th): To prohibit funds for medical treatment (other than mental health treatment) related to ...,H256: On H.R. 1628: American Health Care Act of 2017,"H77: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...",H244: On H.R. 1180: Working Families Flexibility Act of 2017,H549: On H.R. 36: Pain-Capable Unborn Child Protection Act,H518: On H.Amdt. 432 (Palmer) to H.R. 3354 (115th): To prohibit funds from being used to implement the District of Columbia's Reproductive ...,H372: On H.Amdt. 185 (Franks) to H.R. 2810 (115th): To require the Secretary of Defense to conduct strategic assessments of the use ...,H36: On H.R. 4712: Born-Alive Abortion Survivors Protection Act,"H127: On H.R. 1625: Consolidated Appropriations Act, 2018",H16: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,H14: On H.Amdt. 510 (Amash) to S. 139 (115th): To replace the text of S. 139 with the text of the USA ...,"H202: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",Judiciary committee vote (H1): Poe Amendment #3 to H.R. 3989 (the USA Liberty Act),Intel committee vote on H.R. 4478 (FISA Amendments Reauthorization Act),Judiciary committee vote (H17): Legal Workforce Act,H91: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,,,,,,,,,,,,,,,,,,
,,,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Advancing Justice,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,,,,,,,,,,,,,,,,,,
,,,Immigration,Criminal Justice,Criminal Justice,Criminal Justice,Criminal Justice,Immigration,Immigration,Immigration,Immigration,Immigration,Immigration,Criminal Justice,Criminal Justice,Disability,"Disability, Women","Disability, Women",Repro,Racial justice - edu,Repro,"Disability, Women",LGBTQ,"Disability, Women, Repro",Disability,Women,Repro,Repro,Religious freedom,Repro,Privacy,Privacy - FISA,Privacy - FISA,Privacy - FCC rules,Privacy,Privacy,Privacy & Immigration,Freedom of Speech - FOSTA,,,,,,,,,,,,,,,,,,
,,,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,Total votes: Advancing Justice,Total abstained: Advancing Justice,Advancing Justice score,Advancing Justice percentage,Total votes: Ending Discrimination,Total abstained: Ending Discrimination,Ending Discrimination score,Ending Discrimination percentage,Total votes: Protecting Liberty,Total abstained: Protecting Liberty,Protecting Liberty,Protecting Liberty percentage,Total votes scored ,Total votes abstained ,Total votes missed before taking office,"Total ""no votes""",Total score,Total percentage score
Commish. Jenniffer Gonzalez-Colon (R-PR-1),PR-01,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,,,,n/a,,,,n/a,0,0,0,0,0,n/a
"Del. Aumua ""Aumua Amata"" Radewagen (R-AS-1)",AS-01,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,n/a,0,0,0,n/a,0,0,0,n/a,0,0,0,0,0,n/a
Del. Eleanor Norton (D-DC-1),DC-01,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,n/a,0,0,0,n/a,0,0,0,n/a,0,0,0,0,0,n/a
"Del. Gregorio ""Killili"" Sablan (D-MP-1)",MP-01,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,n/a,0,0,0,n/a,0,0,0,n/a,0,0,0,0,0,n/a
Del. Madeleine Bordallo (D-GU-1),GU-01,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,n/a,0,0,0,n/a,0,0,0,n/a,0,0,0,0,0,n/a
Del. Stacey Plaskett (D-VI-1),VI-01,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,,,,n/a,,,,n/a,0,0,0,0,0,n/a
Leader Kevin McCarthy (R-CA-23),CA-23,R,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,Not on committee,Not on committee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not on committee,Not on committee,Not on committee,0,8,0,0,0.00%,15,0,1,0,5,0,0,0.00%,28,0,0,0,1,3.57%
