Senator,State,Party,S36: On Motion to Invoke Cloture on Amdt. No. 1959,S34: On Motion to Invoke Cloture on Amdt. No. 1948,Judiciary committee vote - S. 1917: Sentencing Reform and Corrections Act of 2017,S25: On Motion to Invoke Cloture on the Motion to Proceed to the Consideration of S. 2311,S179: On S.Amdt. 667 (McConnell) to H.R. 1628 (115th) and to S.Amdt. 267: Of a perfecting nature.,S167: On the Motion to Proceed H.R. 1628,"S101: On H.J.Res. 43: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted ...",S100: On the Motion to Proceed H.J.Res. 43,"S84: On H.J.Res. 57: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","S81: On H.J.Res. 37: Disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and ...",S80: On the Motion to Proceed H.J.Res. 37,"S66: On H.J.Res. 40: Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by ...","S63: On H.R. 1625: Consolidated Appropriations Act, 2018",S62: On Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 1625,S12: On S. 139: An Act to amend the Foreign Intelligence Surveillance Act of 1978 to improve foreign intelligence collection and the ...,S11: On Motion to Invoke Cloture: Motion to Concur in the House Amdt. to S. 139,S10: On the Motion to Proceed S. 139,"S94: On S.J.Res. 34: A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the ...",S60: On H.R. 1865: Allow States and Victims to Fight Online Sex Trafficking Act of 2017,"S96: On the Motion to Proceed: Motion to Proceed to S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".","S97: On the Joint Resolution: S. J. Res. 52; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Restoring Internet Freedom"".",S57: On Motion to Invoke Cloture on the Motion to Proceed to H.R. 1865,,,,,,,,,,,,,,,,,,
,,,Advancing Justice,Advancing Justice,Advancing Justice,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Ending Discrimination,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,Protecting Liberty,,,,,,,,,,,,,,,,,,
,,,Immigration,Immigration,Criminal Justice ,Repro,"Disability, Repro - ACA repeal","Disability, Repro - ACA repeal",Repro - Title X protections,Repro - Title X protections,Racial justice - edu,"Disability, Women","Disability, Women",Disability,Privacy,Privacy,Privacy - FISA,Privacy - FISA,Privacy - FISA,Privacy - FCC rules,Freedom of Speech - FOSTA,Freedom of Speech - Net Neutrality,Freedom of Speech - Net Neutrality,Freedom of Speech - FOSTA,,,,,,,,,,,,,,,,,,
,,,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Opposed,ACLU Supported,ACLU Supported,ACLU Opposed,Total votes: Advancing Justice,Total abstained: Advancing Justice,Advancing Justice score,Advancing Justice percentage,Total votes: Ending Discrimination,Total abstained: Ending Discrimination,Ending Discrimination score,Ending Discrimination percentage,Total votes: Protecting Liberty,Total abstained: Protecting Liberty ,Protecting Liberty score,Protecting Liberty percentage,Total votes scored ,Total votes abstained ,Total votes missed before taking office,"Total ""no votes""",Total score ,Total percentage score
"Leader Charles ""Chuck"" Schumer (D-NY)",NY,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,4,40%,21,0,0,0,14,67%
Leader Mitch McConnell (R-KY),KY,R,0,0,Not on committee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0%,9,0,1,11%,10,0,0,0%,21,0,0,0,1,5%
Sen. Amy Klobuchar (D-MN)*,MN,D,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,3,0,3,100%,9,0,8,89%,10,0,3,30%,22,0,0,0,14,64%
Sen. Angus King (I-ME),ME,I,1,1,Not on committee,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,2,0,2,100%,9,0,9,100%,10,0,3,30%,21,0,0,0,14,67%
Sen. Ben Cardin (D-MD),MD,D,1,1,Not on committee,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,5,50%,21,0,0,0,15,71%
"Sen. Benjamin ""Ben"" Sasse (R-NE)*",NE,R,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,1,33%,9,0,1,11%,10,0,2,20%,22,0,0,0,4,18%
Sen. Bernie Sanders (I-VT),VT,I,1,1,Not on committee,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,0,2,100%,9,0,8,89%,10,0,8,80%,21,0,0,0,18,86%
